question|optionA|optionB|optionC|optionD|answer|fact
Who was the first batsman to be given out by a television umpire in international cricket?|Sachin Tendulkar|Karl Liebenberg|Sourav Ganguly|Sanjay Manjrekar|A|Sachin Tendulkar became the first player dismissed via third umpire decision in 1992.
Which novel begins with the line Call me Ishmael?|Moby Dick|Treasure Island|The Old Man and the Sea|Robinson Crusoe|A|Moby Dick opens with one of the most famous first lines in literature.
Which country was the first to issue a postage stamp?|France|Germany|United Kingdom|United States|C|The Penny Black issued in 1840 was the world's first adhesive postage stamp.
Which football club's stadium is popularly known as The Theatre of Dreams?|Liverpool|Arsenal|Manchester United|Real Madrid|C|Sir Bobby Charlton famously nicknamed Old Trafford The Theatre of Dreams.
Which Indian state was the first to be formed on a linguistic basis after independence?|Tamil Nadu|Andhra Pradesh|Maharashtra|Karnataka|B|Andhra Pradesh was created in 1953 following the movement led by Potti Sriramulu.
Which company originally developed the video game character Sonic the Hedgehog?|Nintendo|Capcom|Atari|Sega|D|Sonic was created by Sega as a mascot to rival Nintendo's Mario.
Who was the first player to score a double century in One Day International cricket?|Rohit Sharma|Virender Sehwag|Sachin Tendulkar|Chris Gayle|C|Sachin Tendulkar scored 200 not out against South Africa in 2010.
Which famous scientist worked as a patent clerk before publishing his groundbreaking papers in 1905?|Isaac Newton|Albert Einstein|Niels Bohr|Max Planck|B|Einstein worked at the Swiss Patent Office in Bern during his annus mirabilis year.
Which city hosted the first modern Olympic Games in 1896?|Athens|Paris|London|Rome|A|Athens hosted the first modern Olympics inspired by the ancient Greek games.
Which Indian industrialist flew India's first commercial flight in 1932?|Dhirubhai Ambani|JRD Tata|Ghanshyam Das Birla|Walchand Hirachand|B|JRD Tata piloted the Karachi to Bombay airmail flight that became Tata Airlines.
Which Beatles album features the iconic Abbey Road zebra crossing on its cover?|Revolver|Help!|Abbey Road|Let It Be|C|The cover photograph became one of the most recreated images in music history.
Which cricketer scored a century in each innings of a Test match on debut?|Lawrence Rowe|Sunil Gavaskar|Greg Chappell|Alastair Cook|A|Jamaica's Lawrence Rowe scored 214 and 100 on Test debut in 1972.
Which country gifted the Statue of Liberty to the United States?|Germany|France|United Kingdom|Italy|B|France presented the statue in 1886 to commemorate friendship and shared democratic ideals.
What was the original name of the company now known as Nintendo?|Marufuku Company|Yamauchi Games|Nintendo Koppai|Kyoto Cards|C|Nintendo began in 1889 as Nintendo Koppai producing handmade playing cards.
Who was the first Formula One world champion from India?|Karun Chandhok|Narain Karthikeyan|None of the above|Jehan Daruvala|C|No Indian driver has yet won the Formula One World Championship.
Which famous explorer's ships were named Nina Pinta and Santa Maria?|Ferdinand Magellan|Vasco da Gama|James Cook|Christopher Columbus|D|Columbus used the three ships on his first voyage across the Atlantic in 1492.
Which Indian won the Nobel Prize in Economics in 1998 for contributions to welfare economics and social choice theory?|Amartya Sen|Jagdish Bhagwati|Kaushik Basu|Raghuram Rajan|A|Amartya Sen's work transformed the study of poverty inequality and human development.
